DATE,TLT,BAR,SCHR,UST,EWJ,DBC,SCHB,PDBC,IEMG,VGK,GXC,SCHP,VEA,GLD,VWO,SCHE,VTI,ITE,TIP,VTV,VOE,VBR
1998-02,,,,,35.3265,,,,,,,,,,,,,,,,,
1998-03,,,,,31.3739,,,,,,,,,,,,,,,,,
1998-04,,,,,32.5483,,,,,,,,,,,,,,,,,
1998-05,,,,,30.5847,,,,,,,,,,,,,,,,,
1998-06,,,,,30.9793,,,,,,,,,,,,,,,,,
1998-07,,,,,29.7955,,,,,,,,,,,,,,,,,
1998-08,,,,,24.8922,,,,,,,,,,,,,,,,,
1998-09,,,,,25.2874,,,,,,,,,,,,,,,,,
1998-10,,,,,30.623,,,,,,,,,,,,,,,,,
1998-11,,,,,31.6092,,,,,,,,,,,,,,,,,
1998-12,,,,,32.3994,,,,,,,,,,,,,,,,,
1999-01,,,,,33.1897,,,,,,,,,,,,,,,,,
1999-02,,,,,32.0201,,,,,,,,,,,,,,,,,
1999-03,,,,,36.3506,,,,,,,,,,,,,,,,,
1999-04,,,,,37.931,,,,,,,,,,,,,,,,,
1999-05,,,,,35.75,,,,,,,,,,,,,,,,,
1999-06,,,,,39.5115,,,,,,,,,,,,,,,,,
1999-07,,,,,42.4828,,,,,,,,,,,,,,,,,
1999-08,,,,,42.4456,,,,,,,,,,,,,,,,,
1999-09,,,,,44.2221,,,,,,,,,,,,,,,,,
1999-10,,,,,46.982,,,,,,,,,,,,,,,,,
1999-11,,,,,48.3779,,,,,,,,,,,,,,,,,
1999-12,,,,,52.1138,,,,,,,,,,,,,,,,,
2000-01,,,,,49.1423,,,,,,,,,,,,,,,,,
2000-02,,,,,48.5352,,,,,,,,,,,,,,,,,
2000-03,,,,,52.7209,,,,,,,,,,,,,,,,,
2000-04,,,,,48.7269,,,,,,,,,,,,,,,,,
2000-05,,,,,45.5317,,,,,,,,,,,,,,,,,
2000-06,,,,,48.5352,,,,,,,,,,,,,,,,,
2000-07,,,,,43.1353,,,,,,,,,,,,,,,,,
2000-08,,,,,45.9897,,,,,,,,,,,,,,,,,
2000-09,,,,,43.7134,,,,,,,,,,,,,,,,,
2000-10,,,,,41.8658,,,,,,,,,,,,,,,,,
2000-11,,,,,38.7647,,,,,,,,,,,,,,,,,
2000-12,,,,,36.4883,,,,,,,,,,,,,,,,,
2001-01,,,,,36.2903,,,,,,,,,,,,,,,,,
2001-02,,,,,34.7397,,,,,,,,,,,,,,,,,
2001-03,,,,,33.783,,,,,,,,,,,,,,,,,
2001-04,,,,,37.0161,,,,,,,,,,,,,,,,,
2001-05,,,,,35.9274,,,,,,,,,,,,,,,,,
2001-06,,,,,33.75,,,,,,,,,,,,40.7928,,,,,
2001-07,,,,,31.0117,,,,,,,,,,,,39.9986,,,,,
2001-08,,,,,30.154,,,,,,,,,,,,37.6882,,,,,
2001-09,,,,,27.7126,,,,,,,,,,,,34.3949,,,,,
2001-10,,,,,27.6796,,,,,,,,,,,,35.1013,,,,,
2001-11,,,,,27.6466,,,,,,,,,,,,37.7819,,,,,
2001-12,,,,,25.4362,,,,,,,,,,,,38.3227,,,,,
2002-01,,,,,23.5557,,,,,,,,,,,,37.9955,,,,,
2002-02,,,,,24.6444,,,,,,,,,,,,37.3046,,,,,
2002-03,,,,,26.8548,,,,,,,,,,,,38.6875,,,,,
2002-04,,,,,27.8446,,,,,,,,,,,,36.9738,,,,,
2002-05,,,,,29.5601,,,,,,,,,,,,36.445,,,,,
2002-06,,,,,27.8116,,,,,,,,,,,,33.9324,,,,,
2002-07,,,,,25.9311,,,,,,,,,,,,31.1023,,,,,
2002-08,47.4373,,,,25.7661,,,,,,,,,,,,31.34,,,,,
2002-09,49.4543,,,,24.1826,,,,,,,,,,,,28.1734,,,,,
2002-10,47.6294,,,,22.7969,,,,,,,,,,,,30.2842,,,,,
2002-11,47.1939,,,,23.6217,,,,,,,,,,,,32.0975,,,,,
2002-12,49.3304,,,,22.9289,,,,,,,,,,,,30.4739,,,,,
2003-01,49.0464,,,,22.335,,,,,,,,,,,,29.6294,,,,,
2003-02,50.565,,,,22.566,,,,,,,,,,,,29.172,,,,,
2003-03,49.8749,,,,21.3123,,,,,,,,,,,,29.3933,,,,,
2003-04,50.3983,,,,21.1474,,,,,,,,,,,,31.9254,,,,,
2003-05,53.5832,,,,22.401,,,,,,,,,,,,33.7875,,,,,
2003-06,52.6169,,,,23.9846,,,,,,,,,,,,34.3352,,,,,
2003-07,47.3662,,,,25.0733,,,,,,,,,,,,35.1337,,,,,
2003-08,47.9847,,,,27.3827,,,,,,,,,,,,35.973,,,,,
2003-09,50.8357,,,,28.9003,,,,,,,,,,,,35.5934,,,,,
2003-10,49.2955,,,,30.4839,,,,,,,,,,,,37.7477,,,,,
2003-11,49.4637,,,,29.5601,,,,,,,,,,,,38.3142,,,,,
2003-12,50.1293,,,,31.809,,,,,,,,,,,,39.8453,,,,,
2004-01,51.0621,,,,31.875,,,,,,,,,,,,40.8858,,64.9226,,,
2004-02,52.2278,,,,32.04,,,,,,,,,,,,41.4584,,66.3162,33.9491,,36.9938
2004-03,52.9646,,,,35.8676,,,,,,,,,,,,41.0327,,67.4198,33.3727,,37.586
2004-04,49.6627,,,,33.4588,,,,,,,,,,,,40.1203,,64.1689,32.8052,,35.4585
2004-05,49.5344,,,,32.9639,,,,,,,,,,,,40.7023,,65.4643,33.0484,,36.1896
2004-06,50.0577,,,,35.0427,,,,,,,,,,,,41.5295,,65.3718,33.8627,,37.9223
2004-07,50.824,,,,32.4689,,,,,,,,,,,,40.0525,,65.8995,33.3533,,36.5917
2004-08,52.9408,,,,32.9309,,,,,,,,,,,,40.0751,,67.6729,33.8287,,37.045
2004-09,53.4433,,,,32.007,,,,,,,,,,,,40.7498,,67.7286,34.2404,,38.339
2004-10,54.3873,,,,32.7659,,,,,,,,,,,,41.4834,,68.4696,34.7733,,38.9166
2004-11,53.0858,,,,34.0198,,,,,,,,,,,,43.4498,,68.2472,36.4334,,42.1335
2004-12,54.4961,,,,36.1786,,,,,,,,,43.8,,,44.9398,,69.4474,37.6723,,43.3407
2005-01,56.4409,,,,35.0853,,,,,,,,,42.22,,,43.8168,,69.4539,36.9223,,41.7573
2005-02,55.6101,,,,35.8142,,,,,,,,,43.52,,,44.7304,,69.0875,38.1884,,42.7609
2005-03,55.3575,,,,34.754,,,,,,,,,42.82,,,43.893,,69.2387,37.5342,,41.8375
2005-04,57.4964,,,,33.9589,,,,,28.551,,,,43.35,16.3757,,42.9262,,70.469,36.9392,,39.7333
2005-05,59.3005,,,,33.5282,,,,,28.628,,,,41.65,16.8517,,44.5924,,71.0045,37.8594,,42.6256
2005-06,60.5816,,,,33.5945,,,,,29.0131,,,,43.44,17.4343,,44.9303,,71.3679,38.3799,,44.1424
2005-07,58.5357,,,,33.9589,,,,,29.813,,,,42.82,18.6491,,46.8975,,69.6073,39.3612,,46.5514
2005-08,60.5716,,,,36.8744,,,,,30.6602,,,,43.4,18.9155,,46.3875,,71.3695,39.1246,,45.6145
2005-09,58.3846,,,,40.3862,,,,,31.0631,,,,46.7,20.4714,,46.7506,,71.2586,39.7997,,45.964
2005-10,57.0779,,,,40.1212,,,,,30.4173,,,,46.4,19.3134,,45.6564,,70.3249,38.7484,,44.4844
2005-11,57.4718,,,,41.2808,,,,,30.6839,,,,49.1,20.6597,,47.7639,,70.449,40.115,,46.1647
2005-12,59.1864,,,,44.9825,,,,,31.983,,,,51.58,22.0112,,47.7747,,71.1796,40.3924,,45.9805
2006-01,58.1817,,,,46.6461,,,,,34.0077,,,,56.7,24.570999999999998,,49.3125,,71.2003,41.6147,,49.1322
2006-02,58.8348,,,,45.9141,,,,,33.8983,,,,56.07,24.0432,,49.42100000000001,,71.2003,41.9821,,49.3822
2006-03,56.1304,,,,47.9104,22.1355,,,,35.2603,,,,58.1,24.3252,,50.4348,,69.6773,42.6463,,51.1782
2006-04,54.5789,,,,49.2413,23.6889,,,,37.1027,,,,65.09,26.2233,,50.9171,,69.514,43.6842,,51.1555
2006-05,54.6907,,,,46.5796,23.5964,,,,36.0143,,,,64.23,23.2622,,49.2757,,69.7214,42.6321,,49.2376
2006-06,55.3343,,,,45.3818,23.393,,,,36.3791,,,,61.23,23.2405,,49.3399,,70.0194,43.0167,,49.7303
2006-07,56.5313,,,,45.1489,23.9108,,,,36.7561,,,,63.16,23.6708,,49.2813,,71.0784,44.1032,,49.1238
2006-08,58.2591,,,,45.6147,23.1156,,,,37.9479,,,,62.29,24.0215,,50.4141,,72.2595,44.8394,,50.17
2006-09,59.3747,,,,45.0491,22.1448,,,,38.3735,,,,59.47,24.2818,,51.5635,,72.3396,45.8029,40.5988,50.6173
2006-10,59.6432,,,,45.9474,22.3667,,,,39.7902,,,,60.24,25.5074,,53.4226,,72.2858,47.2438,42.3852,52.9673
2006-11,61.0234,,,,45.9474,23.8368,,,,41.286,,,,64.39,27.3767,,54.6149,,73.0594,48.2189,44.0544,54.7109
2006-12,59.607,,,,47.6141,23.2938,,,,42.5568,,,,63.21,28.4746,,55.2727,,71.3761,49.372,44.3556,54.9417
2007-01,58.7712,,,,47.9492,22.7347,,,,43.2248,,,,64.83,28.4967,,56.3016,,71.5423,49.8139,45.8644,56.0231
